cpus,memory,heap,startup_seconds
0.75,4G,512M,16.337945461273193
0.75,4G,768M,11.240244388580322
0.75,4G,1G,13.189021825790405
0.75,4G,1.25G,10.207072973251343
0.75,4G,1.5G,13.910948038101196
0.75,4G,2G,10.929735660552979
0.75,4G,2.5G,11.885917901992798
1.0,512M,256M,13.577338218688965
1.0,512M,384M,10.585922718048096
1.0,512M,512M,10.517709016799927
1.0,768M,256M,14.416566133499146
1.0,768M,384M,14.70474100112915
1.0,768M,512M,12.063723802566528
1.0,768M,768M,12.445713520050049
1.0,1G,256M,12.752443552017212
1.0,1G,384M,11.766816854476929
1.0,1G,512M,14.370433568954468
1.0,1G,768M,14.0533127784729
1.0,1G,1G,12.094106674194336
1.0,1.5G,256M,12.4431471824646
1.0,1.5G,384M,13.851004362106323
1.0,1.5G,512M,14.78395938873291
1.0,1.5G,768M,12.689027786254883
1.0,1.5G,1G,15.557154655456543
1.0,1.5G,1.25G,14.928146123886108
1.0,1.5G,1.5G,12.075889825820923
1.0,2G,256M,15.389947891235352
1.0,2G,384M,14.026085138320923
1.0,2G,512M,14.25139594078064
1.0,2G,768M,10.897910833358765
1.0,2G,1G,14.696109056472778
1.0,2G,1.25G,11.996890544891357
1.0,2G,1.5G,12.524922370910645
1.0,2G,2G,14.262661695480347
1.0,3G,256M,13.234217166900635
1.0,3G,384M,11.49074387550354
1.0,3G,512M,10.911853551864624
1.0,3G,768M,14.391479969024658
1.0,3G,1G,13.547729730606079
1.0,3G,1.25G,12.513504266738892
1.0,3G,1.5G,10.783056259155273
1.0,3G,2G,14.708934307098389
1.0,3G,2.5G,13.264660596847534
1.0,4G,256M,11.522966384887695
1.0,4G,384M,10.728162050247192
1.0,4G,512M,16.33965015411377
1.0,4G,768M,13.556855916976929
1.0,4G,1G,11.951385021209717
1.0,4G,1.25G,12.061109066009521
1.0,4G,1.5G,12.938766717910767
1.0,4G,2G,14.195476770401001
1.0,4G,2.5G,10.224242687225342
1.25,512M,256M,12.608330011367798
1.25,512M,384M,8.87999939918518
1.25,512M,512M,10.508883476257324
1.25,768M,256M,8.92183780670166
1.25,768M,384M,12.682426929473877
1.25,768M,512M,11.698824167251587
1.25,768M,768M,12.335229873657227
1.25,1G,256M,9.444085597991943
1.25,1G,384M,11.486809968948364
1.25,1G,512M,10.876589298248291
1.25,1G,768M,8.971859455108643
1.25,1G,1G,9.326440572738647
1.25,1.5G,256M,9.68389892578125
1.25,1.5G,384M,11.18745756149292
1.25,1.5G,512M,8.42349362373352
1.25,1.5G,768M,13.771289348602295
1.25,1.5G,1G,9.519413232803345
1.25,1.5G,1.25G,9.627743005752563
1.25,1.5G,1.5G,9.832607984542847
1.25,2G,256M,12.561625242233276
1.25,2G,384M,8.485674381256104
1.25,2G,512M,10.92646050453186
1.25,2G,768M,8.88446307182312
1.25,2G,1G,11.634024858474731
1.25,2G,1.25G,12.221236944198608
1.25,2G,1.5G,11.869401216506958
1.25,2G,2G,7.9651477336883545
1.25,3G,256M,11.580092668533325
1.25,3G,384M,14.685201644897461
1.25,3G,512M,13.689728736877441
1.25,3G,768M,12.911359786987305
1.25,3G,1G,13.380375146865845
1.25,3G,1.25G,11.134576320648193
1.25,3G,1.5G,11.382104396820068
1.25,3G,2G,16.10887885093689
1.25,3G,2.5G,13.266806364059448
1.25,4G,256M,11.260434865951538
1.25,4G,384M,15.000665187835693
1.25,4G,512M,10.524614095687866
1.25,4G,768M,11.521004915237427
1.25,4G,1G,10.133959293365479
1.25,4G,1.25G,12.52565622329712
1.25,4G,1.5G,11.425265073776245
1.25,4G,2G,13.287853240966797
1.25,4G,2.5G,11.155436992645264
1.5,512M,256M,7.890371322631836
1.5,512M,384M,8.650461196899414
1.5,512M,512M,11.416436433792114
1.5,768M,256M,7.411056041717529
1.5,768M,384M,10.268629312515259
1.5,768M,512M,12.993898391723633
1.5,768M,768M,11.893040180206299
1.5,1G,256M,9.066781520843506
1.5,1G,384M,9.926291704177856
1.5,1G,512M,9.145804643630981
1.5,1G,768M,7.361462831497192
1.5,1G,1G,8.421852827072144
1.5,1.5G,256M,9.242637872695923
1.5,1.5G,384M,9.817320108413696
1.5,1.5G,512M,8.761995315551758
1.5,1.5G,768M,8.341975688934326
1.5,1.5G,1G,11.10488247871399
1.5,1.5G,1.25G,8.73860788345337
1.5,1.5G,1.5G,8.05674695968628
1.5,2G,256M,7.497963905334473
1.5,2G,384M,9.809062242507935
1.5,2G,512M,8.858971118927002
1.5,2G,768M,9.475057125091553
1.5,2G,1G,8.704064846038818
1.5,2G,1.25G,7.790898561477661
1.5,2G,1.5G,8.842362880706787
1.5,2G,2G,10.736204624176025
1.5,3G,256M,15.859699010848999
1.5,3G,384M,12.493116617202759
1.5,3G,512M,13.948818922042847
1.5,3G,768M,15.104334115982056
1.5,3G,1G,14.978243112564087
1.5,3G,1.25G,11.090071201324463
1.5,3G,1.5G,12.61643385887146
1.5,3G,2G,14.575876712799072
1.5,3G,2.5G,16.0273277759552
1.5,4G,256M,15.159604787826538
1.5,4G,384M,13.95304560661316
1.5,4G,512M,12.522120952606201
1.5,4G,768M,11.768308877944946
1.5,4G,1G,10.812650680541992
1.5,4G,1.25G,14.210119485855103
1.5,4G,1.5G,12.400474309921265
1.5,4G,2G,11.374365329742432
1.5,4G,2.5G,13.87781548500061
2.0,512M,256M,8.556289672851562
2.0,512M,384M,9.749296426773071
2.0,512M,512M,7.529247760772705
2.0,768M,256M,7.93067193031311
2.0,768M,384M,6.807737350463867
2.0,768M,512M,6.560031890869141
2.0,768M,768M,7.8086395263671875
2.0,1G,256M,9.124572038650513
2.0,1G,384M,7.386991739273071
2.0,1G,512M,7.666751384735107
2.0,1G,768M,9.530679941177368
2.0,1G,1G,10.204029560089111
2.0,1.5G,256M,9.241412878036499
2.0,1.5G,384M,9.513205766677856
2.0,1.5G,512M,8.571943521499634
2.0,1.5G,768M,8.085541248321533
2.0,1.5G,1G,8.608919620513916
2.0,1.5G,1.25G,7.19261908531189
2.0,1.5G,1.5G,8.013667106628418
2.0,2G,256M,10.401680946350098
2.0,2G,384M,8.431534767150879
2.0,2G,512M,9.213220357894897
2.0,2G,768M,7.867345333099365
2.0,2G,1G,8.610684394836426
2.0,2G,1.25G,7.922262907028198
2.0,2G,1.5G,7.901339769363403
2.0,2G,2G,9.008505821228027
2.0,3G,256M,11.108772039413452
2.0,3G,384M,14.106683492660522
2.0,3G,512M,12.161898374557495
2.0,3G,768M,11.912429332733154
2.0,3G,1G,11.4295072555542
2.0,3G,1.25G,13.434743642807007
2.0,3G,1.5G,12.486491680145264
2.0,3G,2G,15.525614023208618
2.0,3G,2.5G,12.84464144706726
2.0,4G,256M,11.580495119094849
2.0,4G,384M,15.3770911693573
2.0,4G,512M,12.089052438735962
2.0,4G,768M,14.591150522232056
2.0,4G,1G,14.19874119758606
2.0,4G,1.25G,14.783844709396362
2.0,4G,1.5G,14.704347133636475
2.0,4G,2G,13.198974609375
2.0,4G,2.5G,13.133037805557251
2.5,512M,256M,8.447719812393188
2.5,512M,384M,6.023872375488281
2.5,512M,512M,9.405162334442139
2.5,768M,256M,5.618290185928345
2.5,768M,384M,6.60159707069397
2.5,768M,512M,5.754251480102539
2.5,768M,768M,8.016562700271606
2.5,1G,256M,7.727746486663818
2.5,1G,384M,7.2832911014556885
2.5,1G,512M,6.091566324234009
2.5,1G,768M,6.866148471832275
2.5,1G,1G,5.836036443710327
2.5,1.5G,256M,5.763059139251709
2.5,1.5G,384M,7.061579704284668
2.5,1.5G,512M,6.418903589248657
2.5,1.5G,768M,6.996817588806152
2.5,1.5G,1G,8.689145803451538
2.5,1.5G,1.25G,7.343435049057007
2.5,1.5G,1.5G,10.248328447341919
2.5,2G,256M,9.730424165725708
2.5,2G,384M,9.906180620193481
2.5,2G,512M,8.268080711364746
2.5,2G,768M,8.943154335021973
2.5,2G,1G,6.034499168395996
2.5,2G,1.25G,8.245846271514893
2.5,2G,1.5G,8.817028999328613
2.5,2G,2G,7.331037998199463
2.5,3G,256M,12.690112352371216
2.5,3G,384M,13.98413372039795
2.5,3G,512M,14.903889894485474
2.5,3G,768M,12.671677112579346
2.5,3G,1G,13.286935567855835
2.5,3G,1.25G,16.049779415130615
2.5,3G,1.5G,12.025421142578125
2.5,3G,2G,16.66762685775757
2.5,3G,2.5G,14.961278915405273
2.5,4G,256M,12.652238607406616
2.5,4G,384M,13.964339971542358
2.5,4G,512M,14.062666177749634
2.5,4G,768M,12.989115715026855
2.5,4G,1G,12.737354755401611
2.5,4G,1.25G,14.204204320907593
2.5,4G,1.5G,13.050604104995728
2.5,4G,2G,14.728246450424194
2.5,4G,2.5G,13.822407245635986
3.0,512M,256M,7.166872024536133
3.0,512M,384M,9.101080894470215
3.0,512M,512M,7.672168016433716
3.0,768M,256M,9.461857795715332
3.0,768M,384M,7.490131378173828
3.0,768M,512M,10.232709169387817
3.0,768M,768M,8.989248037338257
3.0,1G,256M,10.709511280059814
3.0,1G,384M,7.457355737686157
3.0,1G,512M,11.368601083755493
3.0,1G,768M,9.687528610229492
3.0,1G,1G,10.19350266456604
3.0,1.5G,256M,10.08614730834961
3.0,1.5G,384M,11.013662338256836
3.0,1.5G,512M,10.268782615661621
3.0,1.5G,768M,10.809762001037598
3.0,1.5G,1G,6.6925694942474365
3.0,1.5G,1.25G,8.271507978439331
3.0,1.5G,1.5G,9.068997144699097
3.0,2G,256M,10.698696374893188
3.0,2G,384M,11.405232667922974
3.0,2G,512M,9.499597311019897
3.0,2G,768M,11.090076923370361
3.0,2G,1G,10.49763560295105
3.0,2G,1.25G,9.819379806518555
3.0,2G,1.5G,11.125073432922363
3.0,2G,2G,7.063401460647583
3.0,3G,256M,13.941325664520264
3.0,3G,384M,15.80164885520935
3.0,3G,512M,14.054770469665527
3.0,3G,768M,13.836675643920898
3.0,3G,1G,14.205834865570068
3.0,3G,1.25G,14.05849575996399
3.0,3G,1.5G,17.18724250793457
3.0,3G,2G,16.423454999923706
3.0,3G,2.5G,16.90707564353943
3.0,4G,256M,13.970077514648438
3.0,4G,384M,15.03431224822998
3.0,4G,512M,13.455152988433838
3.0,4G,768M,14.319937705993652
3.0,4G,1G,13.105010032653809
3.0,4G,1.25G,14.655540466308594
3.0,4G,1.5G,16.232877492904663
3.0,4G,2G,13.837955951690674
3.0,4G,2.5G,12.961379051208496
